Usuario,ID del tweet,Contenido
GustavoBolivar,1689811228787355648,RT @GustavoBolivar: SOBRE EL MAGNICIDIO EN ECUADOR
GustavoBolivar,1689743350708973568,SOBRE EL MAGNICIDIO EN ECUADOR
GustavoBolivar,1689719243137318912,"RT @CelsoTeteC: ¿Quiénes vienen a dar lecciones de buen gobierno: los mismos que se robaron el Ocad Paz, los bienes de la SAE, la Ruta/trocha del Sol, los amigos del Ñeñe, los Odebrecht, los que se robaron Ecopetrol por 20 años, los $70 mil millones abudineados, los Reficar, los AIS, los parapolítica y los que nos dejaron uno de los países más corruptos, inequitativos y violentos del mundo? Memoria corta jamás."
GustavoBolivar,1689420807968063488,"¿Quiénes vienen a dar lecciones de buen gobierno: los mismos que se robaron el Ocad Paz, los bienes de la SAE, la Ruta/trocha del Sol, los amigos del Ñeñe, los Odebrecht, los que se robaron Ecopetrol por 20 años, los $70 mil millones abudineados, los Reficar, los AIS, los parapolítica y los que nos dejaron uno de los países más corruptos, inequitativos y violentos del mundo? Memoria corta jamás."
GustavoBolivar,1689716953500282881,"RT @nacional_memes: Si las elecciones a la alcaldía de Bogotá fueran el día de hoy,"
GustavoBolivar,1689075616023232513,"Si las elecciones a la alcaldía de Bogotá fueran el día de hoy,"
GustavoBolivar,1689691783104532480,“Es el liderazgo que la humanidad necesita” dijo de @petrogustavo el actor Mark Ruffalo (Hulk en The Avengers) por la propuesta del Presidente de Colombia para proteger la Amazonía:
GustavoBolivar,1689675397032550416,"RT @UldaricoChilito: ¡Abuso sexual! el Congresista de Cambio Radical, Modesto Enrique Aguilera, deberá responder ante la Corte Suprema por presuntamente abusar de una mujer.  Cambio radical guarda silencio y para los medios no es noticia. ¡Vergonzoso!"
GustavoBolivar,1689663297107185664,"¡Abuso sexual! el Congresista de Cambio Radical, Modesto Enrique Aguilera, deberá responder ante la Corte Suprema por presuntamente abusar de una mujer.  Cambio radical guarda silencio y para los medios no es noticia. ¡Vergonzoso!"
GustavoBolivar,1689622478526492672,"RT @amparocastro61: MARTUCHIS VUELVE A SER NOTICIA X SUS ""EMPRENDIMIENTOS"""
GustavoBolivar,1689272049720549376,"MARTUCHIS VUELVE A SER NOTICIA X SUS ""EMPRENDIMIENTOS"""
GustavoBolivar,1687459496883359745,No cayó Samper ante evidente entrada de dinero del cartel de Cali
GustavoBolivar,1689614263822819328,"RT @carolinacorcho: ""La salud es un fortín de muchos intereses, en donde 80 billones de pesos al año ruedan sin control, donde hay personas que se han vuelto multimillonarias con recursos públicos y a costa de la vida de la gente. Había estado los últimos 10 años de mi vida dedicada a fondo a estudiar este sector, recorriendo el país con los movimientos sociales, con los médicos, las enfermeras, yo sabía que esto no sería nada fácil. Y no lo ha sido""."
GustavoBolivar,1689458367255674880,"""La salud es un fortín de muchos intereses, en donde 80 billones de pesos al año ruedan sin control, donde hay personas que se han vuelto multimillonarias con recursos públicos y a costa de la vida de la gente. Había estado los últimos 10 años de mi vida dedicada a fondo a estudiar este sector, recorriendo el país con los movimientos sociales, con los médicos, las enfermeras, yo sabía que esto no sería nada fácil. Y no lo ha sido""."
GustavoBolivar,1672705655134666752,"If you own a mouse, you will never turn off your computer again."
GustavoBolivar,1689611736892985344,"RT @GustavoBolivar: La agricultura pasó de tener un presupuesto de 2 billones en el último año de Duque a 8,1 billones para 2024."
GustavoBolivar,1689417257267478528,"La agricultura pasó de tener un presupuesto de 2 billones en el último año de Duque a 8,1 billones para 2024."
GustavoBolivar,1689430295907377153,RT @Betocoralg: https://t.co/s98JYf4hjI
GustavoBolivar,1689427911722606592,https://t.co/s98JYf4hjI
GustavoBolivar,1689400852211970048,"RT @NoticiasUno: #NoticiasUno| Contra los pronósticos de hace un año, la economía no va mal, dicen analistas"
GustavoBolivar,1688934340229496832,"#NoticiasUno| Contra los pronósticos de hace un año, la economía no va mal, dicen analistas"
GustavoBolivar,1689376471104516096,RT @Betocoralg: Nos escuchamos esta noche a las 7 pm en un súper Space con el canditado a la alcaldía de Bogotá @GustavoBolivar https://t.co/3YfiFMuJ0b
GustavoBolivar,1689371978384420866,Nos escuchamos esta noche a las 7 pm en un súper Space con el canditado a la alcaldía de Bogotá @GustavoBolivar https://t.co/3YfiFMuJ0b
GustavoBolivar,1689372124782186496,RT @GustavoBolivar: La oposición dice que el gobierno es un desastre.
GustavoBolivar,1689331241986797568,La oposición dice que el gobierno es un desastre.
GustavoBolivar,1689352782698946561,"RT @GustavoBolivar: Les duele la paz, les mortifica la tregua. A toda costa intentarán sabotear los diálogos con grupos armados."
GustavoBolivar,1689287578661404673,"Les duele la paz, les mortifica la tregua. A toda costa intentarán sabotear los diálogos con grupos armados."
GustavoBolivar,1689324518127411218,RT @GustavoBolivar: BAJÓ LA INFLACIÓN
GustavoBolivar,1689242580133810177,BAJÓ LA INFLACIÓN
GustavoBolivar,1689285087987183616,"RT @UldaricoChilito: El pdte @petrogustavo ha retirado el esquema de seguridad que había otorgado Duque de por vida a sus exministros, a la ""gente de bien"" y líderes cristianos. Ha llegado el fin de los privilegios gratuitos. Si desean seguridad y vehículo: Trabajen, vagos."
GustavoBolivar,1689020488570294272,"El pdte @petrogustavo ha retirado el esquema de seguridad que había otorgado Duque de por vida a sus exministros, a la ""gente de bien"" y líderes cristianos. Ha llegado el fin de los privilegios gratuitos. Si desean seguridad y vehículo: Trabajen, vagos."
GustavoBolivar,1689144554379730944,RT @petrogustavo: Esta ds la reforma agraria. Volver al campo e industrializarlo en manos del campesinado y el productor directo.
GustavoBolivar,1688652253517750272,Esta ds la reforma agraria. Volver al campo e industrializarlo en manos del campesinado y el productor directo.
GustavoBolivar,1689063592069402624,A las 8:00 PM nos vemos con @GiovannyEnciso por su canal de YouTube “Estrato Medio”.
GustavoBolivar,1688969053120204800,Soy bendecido. Los adversarios me hacen publicidad todos los días y en gavilla que es más efectivo!
GustavoBolivar,1688952787172720640,Ayudémosle a este candidato con un RT a ver si sube en las encuestas.
GustavoBolivar,1688774931738185728,"‘Hay que parar al enemigo de Bogotá, que es Gustavo Bolívar’: Diego Molano https://t.co/pB8uHncZZJ https://t.co/38rKGQCJea"
GustavoBolivar,1688926687994716160,RT @migueldelrioabg: Denunciaré al Representante Agmeth Escaf ante la Corte Suprema de Justicia para que sostenga que yo ofrecí 500 Millones a la campaña en el Atlántico y aporte las pruebas de eso.
GustavoBolivar,1688558558026121217,Denunciaré al Representante Agmeth Escaf ante la Corte Suprema de Justicia para que sostenga que yo ofrecí 500 Millones a la campaña en el Atlántico y aporte las pruebas de eso.
GustavoBolivar,1687459496883359745,No cayó Samper ante evidente entrada de dinero del cartel de Cali
GustavoBolivar,1688725830531203072,"RT @GustavoBolivar: Con muchas dificultades, más lento de lo que queremos y por qué no reconocerlo, cometiendo errores, el cambio está en marcha."
GustavoBolivar,1688701576481808385,"Con muchas dificultades, más lento de lo que queremos y por qué no reconocerlo, cometiendo errores, el cambio está en marcha."
GustavoBolivar,1688560454392496128,🧵 #UnAñoDeLogros
GustavoBolivar,1672307406016249857,"If you own a mouse, you will never turn off your computer again."
GustavoBolivar,1688657835268210688,RT @GustavoBolivar: 🧵 #UnAñoDeLogros
GustavoBolivar,1688625677761757184,30- INCLUSIÓN DIGITAL
GustavoBolivar,1688627549134290944,31- ENERGIAS LIMPIAS
GustavoBolivar,1687459496883359745,No cayó Samper ante evidente entrada de dinero del cartel de Cali
GustavoBolivar,1688560454392496128,🧵 #UnAñoDeLogros
GustavoBolivar,1688619998904815618,28- El turismo extranjero ha crecido 22% con respecto al periodo precovit y el 34% respecto al primer semestre de 2022
GustavoBolivar,1688625677761757184,30- INCLUSIÓN DIGITAL
GustavoBolivar,1673624459419467776,"If you own a mouse, you will never turn off your computer again."
GustavoBolivar,1687459496883359745,No cayó Samper ante evidente entrada de dinero del cartel de Cali
GustavoBolivar,1688560454392496128,🧵 #UnAñoDeLogros
GustavoBolivar,1688616660712701952,26- LUCHA CONTRA LA CRIMINALIDAD
